"pert_iname"	"pert_type"
"AT7867"	"trt_cp"
"AT-9283"	"trt_cp"
"ataluren"	"trt_cp"
"atenolol-(+/-)"	"trt_cp"
"atipamezole"	"trt_cp"
"ATN-161"	"trt_cp"
"atomoxetine"	"trt_cp"
"atorvastatin"	"trt_cp"
"atovaquone"	"trt_cp"
"atracurium"	"trt_cp"
"atrasentan"	"trt_cp"
"aurora-a-inhibitor-i"	"trt_cp"
"AV-412"	"trt_cp"
"AV-608"	"trt_cp"
"avagacestat"	"trt_cp"
"avanafil"	"trt_cp"
"avasimibe"	"trt_cp"
"AVL-292"	"trt_cp"
"AVN-944"	"trt_cp"
"AZ-20"	"trt_cp"
"AZ-628"	"trt_cp"
"azacitidine"	"trt_cp"
"azacitidine"	"trt_cp"
"azathioprine"	"trt_cp"
"AZD-1208"	"trt_cp"
"AZD-1480"	"trt_cp"
"AZD-1480"	"trt_cp"
"AZD-1981"	"trt_cp"
"AZD-2014"	"trt_cp"
"AZD-3514"	"trt_cp"
"AZD-4547"	"trt_cp"
"AZD-5363"	"trt_cp"
"AZD-5438"	"trt_cp"
"AZD-6482"	"trt_cp"
"AZD-7545"	"trt_cp"
"AZD-7687"	"trt_cp"
"AZD-7762"	"trt_cp"
"AZD-7762"	"trt_cp"
"AZD-7762"	"trt_cp"
"AZD-8055"	"trt_cp"
"AZD-8330"	"trt_cp"
"AZD-8931"	"trt_cp"
"AZD-9668"	"trt_cp"
"azelaic-acid"	"trt_cp"
"azelastine"	"trt_cp"
"azithromycin"	"trt_cp"
"baicalin"	"trt_cp"
"balaglitazone"	"trt_cp"
"balapiravir"	"trt_cp"
"balicatib"	"trt_cp"
"balsalazide"	"trt_cp"
"bambuterol"	"trt_cp"
"barasertib"	"trt_cp"
"barasertib-HQPA"	"trt_cp"
"bardoxolone-methyl"	"trt_cp"
"baricitinib"	"trt_cp"
"basimglurant"	"trt_cp"
"batimastat"	"trt_cp"
"bavisant"	"trt_cp"
"BAY-87-2243"	"trt_cp"
"BAY-K8644"	"trt_cp"
"bazedoxifene"	"trt_cp"
"BCI-540"	"trt_cp"
"beclomethasone-dipropionate"	"trt_cp"
"belinostat"	"trt_cp"
"bemegride"	"trt_cp"
"benazepril"	"trt_cp"
"bendamustine"	"trt_cp"
"bendroflumethiazide"	"trt_cp"
"benfluorex"	"trt_cp"
"benzamil"	"trt_cp"
"benzbromarone"	"trt_cp"
"benzotript"	"trt_cp"
"benzthiazide"	"trt_cp"
"benzydamine"	"trt_cp"
"benzylpenicillin"	"trt_cp"
"bepotastine"	"trt_cp"
"berberine"	"trt_cp"
"betahistine"	"trt_cp"
"betrixaban"	"trt_cp"
"betulinic-acid"	"trt_cp"
"bevirimat-dimeglumine"	"trt_cp"
"bexarotene"	"trt_cp"
"bezafibrate"	"trt_cp"
"BGT-226"	"trt_cp"
"BI-2536"	"trt_cp"
"BI-2536"	"trt_cp"
"BIBX-1382"	"trt_cp"
"bicalutamide"	"trt_cp"
"bifemelane"	"trt_cp"
"bifonazole"	"trt_cp"
"BIIB-021"	"trt_cp"
"bimatoprost"	"trt_cp"
"bindarit"	"trt_cp"
"binimetinib"	"trt_cp"
"biperiden"	"trt_cp"
"birinapant"	"trt_cp"
"bisindolylmaleimide"	"trt_cp"
"bisoprolol"	"trt_cp"
"bitopertin"	"trt_cp"
"BIX-01294"	"trt_cp"
"BIX-01338"	"trt_cp"
"BIX-02189"	"trt_cp"
"blonanserin"	"trt_cp"
"BMS-299897"	"trt_cp"
"BMS-345541"	"trt_cp"
"BMS-387032"	"trt_cp"
"BMS-509744"	"trt_cp"
"BMS-599626"	"trt_cp"
"BMS-707035"	"trt_cp"
"BMS-777607"	"trt_cp"
"BMS-927711"	"trt_cp"
"BMY-14802"	"trt_cp"
"bopindolol"	"trt_cp"
"bortezomib"	"trt_cp"
"bortezomib"	"trt_cp"
"bosentan"	"trt_cp"
"bosutinib"	"trt_cp"
"BRD-K73261812"	"trt_cp"
"brequinar"	"trt_cp"
"bretazenil"	"trt_cp"
"brexpiprazole"	"trt_cp"
"brivanib"	"trt_cp"
"brivanib"	"trt_cp"
"brivudine"	"trt_cp"
"bromocriptine"	"trt_cp"
"bropirimine"	"trt_cp"
"broxuridine"	"trt_cp"
"bruceantin"	"trt_cp"
"BS-181"	"trt_cp"
"BTS-54505"	"trt_cp"
"bucladesine"	"trt_cp"
"budipine"	"trt_cp"
"buflomedil"	"trt_cp"
"bumetanide"	"trt_cp"
"buparlisib"	"trt_cp"
"bupivacaine"	"trt_cp"
"bupropion"	"trt_cp"
"buspirone"	"trt_cp"
"busulfan"	"trt_cp"
"butaclamol"	"trt_cp"
"butoconazole"	"trt_cp"
"butorphanol-(+)-tartrate"	"trt_cp"
"BVD-523"	"trt_cp"
"BX-795"	"trt_cp"
"BX-912"	"trt_cp"
"BRD-K68548958"	"trt_cp"
"trehalose"	"trt_cp"
"cabazitaxel"	"trt_cp"
"cabergoline"	"trt_cp"
"cabozantinib"	"trt_cp"
"caffeine"	"trt_cp"
"calcitriol"	"trt_cp"
"calpeptin"	"trt_cp"
"camicinal"	"trt_cp"
"camostat-mesilate"	"trt_cp"
"camptothecin"	"trt_cp"
"canagliflozin"	"trt_cp"
"candesartan"	"trt_cp"
"canertinib"	"trt_cp"
"capecitabine"	"trt_cp"
"capsaicin"	"trt_cp"
"carbachol"	"trt_cp"
"carbamazepine"	"trt_cp"
"carbenoxolone"	"trt_cp"
"carbimazole"	"trt_cp"
"carfilzomib"	"trt_cp"
"carglumic-acid"	"trt_cp"
"cariporide"	"trt_cp"
"cariprazine"	"trt_cp"
"carisoprodol"	"trt_cp"
"carprofen"	"trt_cp"
"carvedilol"	"trt_cp"
"castanospermine"	"trt_cp"
"CB-10-277-(free-acid)"	"trt_cp"
"CC-401"	"trt_cp"
"CC-930"	"trt_cp"
"cediranib"	"trt_cp"
"cefdinir"	"trt_cp"
"cefepime"	"trt_cp"
"cefoperazone"	"trt_cp"
"cefotetan"	"trt_cp"
"cefozopran"	"trt_cp"
"celastrol"	"trt_cp"
"celecoxib"	"trt_cp"
"CEP-32496"	"trt_cp"
"CEP-37440"	"trt_cp"
"cepharanthine"	"trt_cp"
"cevimeline"	"trt_cp"
"CG-930"	"trt_cp"
"CGK-733"	"trt_cp"
"CGP-12177"	"trt_cp"
"CGP-60474"	"trt_cp"
"CGS-20625"	"trt_cp"
"chelerythrine"	"trt_cp"
"chenodiol"	"trt_cp"
"CHIR-99021"	"trt_cp"
"chlorambucil"	"trt_cp"
"chloramphenicol"	"trt_cp"
"chlormezanone"	"trt_cp"
"chloroquine"	"trt_cp"
"chloroxine"	"trt_cp"
"chlorphenamine"	"trt_cp"
"chlorpromazine"	"trt_cp"
"chlorpropamide"	"trt_cp"
"chlorprothixene"	"trt_cp"
"chlorthalidone"	"trt_cp"
"cholic-acid"	"trt_cp"
"choline-alfoscerate"	"trt_cp"
"chrysin"	"trt_cp"
"CI-966"	"trt_cp"
"CI-976"	"trt_cp"
"cianidanol"	"trt_cp"
"ciclesonide"	"trt_cp"
"ciglitazone"	"trt_cp"
"cilengitide"	"trt_cp"
"cilomilast"	"trt_cp"
"cilostazol"	"trt_cp"
"cimetidine"	"trt_cp"
"cinaciguat"	"trt_cp"
"cinepazide"	"trt_cp"
"cinnarizine"	"trt_cp"
"cinoxacin"	"trt_cp"
"ciprofloxacin"	"trt_cp"
"cisapride"	"trt_cp"
"citalopram"	"trt_cp"
"CL-218872"	"trt_cp"
"cladribine"	"trt_cp"
"clarithromycin"	"trt_cp"
"clemizole"	"trt_cp"
"clenbuterol"	"trt_cp"
"climbazole"	"trt_cp"
"clinafloxacin"	"trt_cp"
"clindamycin"	"trt_cp"
"clinofibrate"	"trt_cp"
"clioquinol"	"trt_cp"
"clobetasol"	"trt_cp"
"clofarabine"	"trt_cp"
"clofazimine"	"trt_cp"
"clofibrate"	"trt_cp"
"clofibric-acid"	"trt_cp"
"clofoctol"	"trt_cp"
"clomethiazole"	"trt_cp"
"clomifene"	"trt_cp"
"clomipramine"	"trt_cp"
"clonazepam"	"trt_cp"
"clonidine"	"trt_cp"
"closantel"	"trt_cp"
"clotrimazole"	"trt_cp"
"clozapine"	"trt_cp"
"CNQX"	"trt_cp"
"CO-102862"	"trt_cp"
"cobicistat"	"trt_cp"
"cobimetinib"	"trt_cp"
"colchicine"	"trt_cp"
"colforsin-daproate"	"trt_cp"
"combretastatin-A-4"	"trt_cp"
"conivaptan"	"trt_cp"
"cordycepin"	"trt_cp"
"CP-466722"	"trt_cp"
"CP-724714"	"trt_cp"
"CP-945598"	"trt_cp"
"CPI-1189"	"trt_cp"
"CPI-613"	"trt_cp"
"crizotinib"	"trt_cp"
"cromoglicic-acid"	"trt_cp"
"CT-7758"	"trt_cp"
"CTB"	"trt_cp"
"CTS-1027"	"trt_cp"
"curcumin"	"trt_cp"
"curcumin"	"trt_cp"
"cutamesine"	"trt_cp"
"CX-4945"	"trt_cp"
"CX-516"	"trt_cp"
"CX-5461"	"trt_cp"
"cyanocobalamin"	"trt_cp"
"cyclizine"	"trt_cp"
"cyclobenzaprine"	"trt_cp"
"cyclosporin-a"	"trt_cp"
"cyproheptadine"	"trt_cp"
"cyproterone-acetate"	"trt_cp"
"CYT387"	"trt_cp"
"CYT-997"	"trt_cp"
"cytarabine"	"trt_cp"
"cytisine"	"trt_cp"
"cytochalasin-b"	"trt_cp"
"D-4476"	"trt_cp"
"D-serine"	"trt_cp"
"dabigatran-etexilate"	"trt_cp"
"dabrafenib"	"trt_cp"
"dacarbazine"	"trt_cp"
"dacinostat"	"trt_cp"
"dacomitinib"	"trt_cp"
"dalfampridine"	"trt_cp"
"daminozide"	"trt_cp"
"danazol"	"trt_cp"
"danegaptide"	"trt_cp"
"dantrolene"	"trt_cp"
"danusertib"	"trt_cp"
"dapagliflozin"	"trt_cp"
"dapivirine"	"trt_cp"
"dapsone"	"trt_cp"
"darapladib"	"trt_cp"
"darifenacin"	"trt_cp"
"darunavir"	"trt_cp"
"dasabuvir"	"trt_cp"
"dasatinib"	"trt_cp"
"daunorubicin"	"trt_cp"
"dazmegrel"	"trt_cp"
"dazoxiben"	"trt_cp"
"decitabine"	"trt_cp"
"defactinib"	"trt_cp"
"deferasirox"	"trt_cp"
"deferiprone"	"trt_cp"
"deforolimus"	"trt_cp"
"dehydroepiandrosterone"	"trt_cp"
"delanzomib"	"trt_cp"
"delivert"	"trt_cp"
"deoxycholic-acid"	"trt_cp"
"dequalinium"	"trt_cp"
"desmopressin-acetate"	"trt_cp"
"desoxypeganine"	"trt_cp"
"desvenlafaxine"	"trt_cp"
"dexamethasone"	"trt_cp"
"dexamethasone"	"trt_cp"
"dexamethasone-acetate"	"trt_cp"
"dexfenfluramine"	"trt_cp"
"dexloxiglumide"	"trt_cp"
"dexniguldipine"	"trt_cp"
"dextromethorphan"	"trt_cp"
"diacerein"	"trt_cp"
"diazepam"	"trt_cp"
"diazoxide"	"trt_cp"
"diclofenac"	"trt_cp"
"diclofensine"	"trt_cp"
"dicloxacillin"	"trt_cp"
"dicoumarol"	"trt_cp"
"dideoxyadenosine"	"trt_cp"
"dienogest"	"trt_cp"
"diethylcarbamazine"	"trt_cp"
"diethylstilbestrol"	"trt_cp"
"diflunisal"	"trt_cp"
"digoxin"	"trt_cp"
"dihydroergocristine"	"trt_cp"
"dihydroergotamine"	"trt_cp"
"dilazep"	"trt_cp"
"diltiazem"	"trt_cp"
"dimesna"	"trt_cp"
"dimethyl-fumarate"	"trt_cp"
"diminazene-aceturate"	"trt_cp"
"dinaciclib"	"trt_cp"
"dinoprost"	"trt_cp"
"diosmin"	"trt_cp"
"diphenidol"	"trt_cp"
"diphenylpyraline"	"trt_cp"
"dipraglurant"	"trt_cp"
"dipyridamole"	"trt_cp"
"disopyramide"	"trt_cp"
"disulfiram"	"trt_cp"
"DMP-543"	"trt_cp"
"DMP-777"	"trt_cp"
"docetaxel"	"trt_cp"
"dofequidar"	"trt_cp"
"dolasetron"	"trt_cp"
"dolastatin-10"	"trt_cp"
"dolutegravir"	"trt_cp"
"donepezil"	"trt_cp"
"donitriptan"	"trt_cp"
"dopamine"	"trt_cp"
"doramapimod"	"trt_cp"
"dorzolamide"	"trt_cp"
"dosulepin"	"trt_cp"
"dovitinib"	"trt_cp"
"doxapram"	"trt_cp"
"doxazosin"	"trt_cp"
"doxepin"	"trt_cp"
"doxifluridine"	"trt_cp"
"doxofylline"	"trt_cp"
"doxorubicin"	"trt_cp"
"doxycycline"	"trt_cp"
"DPCPX"	"trt_cp"
"DPI-201106"	"trt_cp"
"dronedarone"	"trt_cp"
"droperidol"	"trt_cp"
"drospirenone"	"trt_cp"
"DU-728"	"trt_cp"
"duloxetine"	"trt_cp"
"dutasteride"	"trt_cp"
"E-2012"	"trt_cp"
"ebselen"	"trt_cp"
"ecabet"	"trt_cp"
"econazole"	"trt_cp"
"edoxaban"	"trt_cp"
"edoxudine"	"trt_cp"
"efaproxiral"	"trt_cp"
"efatutazone"	"trt_cp"
"efavirenz"	"trt_cp"
"eflornithine"	"trt_cp"
"elacridar"	"trt_cp"
"elesclomol"	"trt_cp"
"ellagic-acid"	"trt_cp"
"elvitegravir"	"trt_cp"
"EMD-1214063"	"trt_cp"
"EMD-53998"	"trt_cp"
"emedastine"	"trt_cp"
"empagliflozin"	"trt_cp"
"emtricitabine"	"trt_cp"
"enalapril"	"trt_cp"
"ENMD-2076"	"trt_cp"
"enoxacin"	"trt_cp"
"enoxolone"	"trt_cp"
"enprofylline"	"trt_cp"
"entecavir"	"trt_cp"
"entinostat"	"trt_cp"
"enzalutamide"	"trt_cp"
"enzastaurin"	"trt_cp"
"eperezolid"	"trt_cp"
"epigallocatechin-gallate-(-)"	"trt_cp"
"epinastine"	"trt_cp"
"epinephrine"	"trt_cp"
"epirizole"	"trt_cp"
"epirubicin"	"trt_cp"
"epitiostanol"	"trt_cp"
"eplerenone"	"trt_cp"
"epothilone-b"	"trt_cp"
"eptifibatide"	"trt_cp"
"EPZ-005687"	"trt_cp"
"equol"	"trt_cp"
"ercalcitriol"	"trt_cp"
"erlotinib"	"trt_cp"
"erteberel"	"trt_cp"
"erythromycin"	"trt_cp"
"erythromycin-ethylsuccinate"	"trt_cp"
"escitalopram"	"trt_cp"
"esculin"	"trt_cp"
"esmolol"	"trt_cp"
"omeprazole"	"trt_cp"
"estradiol"	"trt_cp"
"estramustine"	"trt_cp"
"estramustine-phosphate"	"trt_cp"
"estriol"	"trt_cp"
"estrone"	"trt_cp"
"etacrynic-acid"	"trt_cp"
"etanidazole"	"trt_cp"
"etazolate"	"trt_cp"
"ethinyl-estradiol"	"trt_cp"
"ethylenediaminetetraacetic-acid"	"trt_cp"
"etizolam"	"trt_cp"
"etodolac"	"trt_cp"
"etofenamate"	"trt_cp"
"etofylline-clofibrate"	"trt_cp"
"etomidate"	"trt_cp"
"etomoxir"	"trt_cp"
"etoposide"	"trt_cp"
"etoposide"	"trt_cp"
"etoricoxib"	"trt_cp"
"etravirine"	"trt_cp"
"eugenol"	"trt_cp"
"everolimus"	"trt_cp"
"everolimus"	"trt_cp"
"everolimus"	"trt_cp"
"EVP-6124"	"trt_cp"
"EX-527"	"trt_cp"
"EX-527"	"trt_cp"
"exalamide"	"trt_cp"
"exemestane"	"trt_cp"
"exherin"	"trt_cp"
"exifone"	"trt_cp"
"fadrozole"	"trt_cp"
"famciclovir"	"trt_cp"
"famotidine"	"trt_cp"
"faropenem"	"trt_cp"
"fasudil"	"trt_cp"
"favipiravir"	"trt_cp"
"fdcyd"	"trt_cp"
"febuxostat"	"trt_cp"
"felbamate"	"trt_cp"
"felbinac"	"trt_cp"
"felodipine"	"trt_cp"
"fenobam"	"trt_cp"
"fenoldopam"	"trt_cp"
"fenoterol"	"trt_cp"
"fentiazac"	"trt_cp"
"fenticonazole"	"trt_cp"
"fexofenadine"	"trt_cp"
"fiacitabine"	"trt_cp"
"fidarestat"	"trt_cp"
"fidaxomicin"	"trt_cp"
"filgotinib"	"trt_cp"
"finasteride"	"trt_cp"
"fingolimod"	"trt_cp"
"fipronil"	"trt_cp"
"firategrast"	"trt_cp"
"FK-866"	"trt_cp"
"FK-888"	"trt_cp"
"flavoxate"	"trt_cp"
"flecainide"	"trt_cp"
"floxuridine"	"trt_cp"
"fluconazole"	"trt_cp"
"fludarabine-phosphate"	"trt_cp"
"fludroxycortide"	"trt_cp"
"flumatinib"	"trt_cp"
"flumazenil"	"trt_cp"
"fluocinolone-acetonide"	"trt_cp"
"fluorometholone"	"trt_cp"
"fluoxetine"	"trt_cp"
"fluphenazine"	"trt_cp"
"fluspirilene"	"trt_cp"
"flutamide"	"trt_cp"
"fluticasone-propionate"	"trt_cp"
"flutrimazole"	"trt_cp"
"fluvoxamine"	"trt_cp"
"folic-acid"	"trt_cp"
"fomepizole"	"trt_cp"
"fomocaine"	"trt_cp"
"foretinib"	"trt_cp"
"formestane"	"trt_cp"
"formoterol"	"trt_cp"
"forskolin"	"trt_cp"
"fosfomycin"	"trt_cp"
"fosinopril"	"trt_cp"
"fostamatinib"	"trt_cp"
"FPL-55712"	"trt_cp"
"FPL-62064"	"trt_cp"
"FR-180204"	"trt_cp"
"ftorafur"	"trt_cp"
"fulvestrant"	"trt_cp"
"furosemide"	"trt_cp"
"fusidic-acid"	"trt_cp"
"gabapentin"	"trt_cp"
"gaboxadol"	"trt_cp"
"galeterone"	"trt_cp"
"gallopamil"	"trt_cp"
"ganaxolone"	"trt_cp"
"ganciclovir"	"trt_cp"
"ganetespib"	"trt_cp"
"garcinol"	"trt_cp"
"gatifloxacin"	"trt_cp"
"GDC-0068"	"trt_cp"
"GDC-0068"	"trt_cp"
"GDC-0152"	"trt_cp"
"GDC-0834"	"trt_cp"
"GDC-0879"	"trt_cp"
"GDC-0941"	"trt_cp"
"GDC-0980"	"trt_cp"
"GDC-0980"	"trt_cp"
"gefitinib"	"trt_cp"
"geldanamycin"	"trt_cp"
"geldanamycin"	"trt_cp"
"gemcitabine"	"trt_cp"
"gemfibrozil"	"trt_cp"
"gemifloxacin"	"trt_cp"
"genistein"	"trt_cp"
"genz-644282"	"trt_cp"
"gestrinone"	"trt_cp"
"gimeracil"	"trt_cp"
"ginkgolide-b"	"trt_cp"
"glafenine"	"trt_cp"
"glasdegib"	"trt_cp"
"glibenclamide"	"trt_cp"
"gliclazide"	"trt_cp"
"glimepiride"	"trt_cp"
"glipizide"	"trt_cp"
"gliquidone"	"trt_cp"
"glycitein"	"trt_cp"
"glycopyrrolate"	"trt_cp"
"GNF-2"	"trt_cp"
"golvatinib"	"trt_cp"
"goserelin-acetate"	"trt_cp"
"Gossypetin"	"trt_cp"
"granisetron"	"trt_cp"
"grazoprevir"	"trt_cp"
"griseofulvin"	"trt_cp"
"GSK-1059615"	"trt_cp"
"GSK-1059615"	"trt_cp"
"GSK-1070916"	"trt_cp"
"GSK-1292263"	"trt_cp"
"GSK-1904529A"	"trt_cp"
"GSK-2110183"	"trt_cp"
"GSK-2126458"	"trt_cp"
"GSK-2334470"	"trt_cp"
"GSK-256066"	"trt_cp"
"GSK-2636771"	"trt_cp"
"GSK-3-inhibitor-II"	"trt_cp"
"GSK-429286A"	"trt_cp"
"GSK-461364"	"trt_cp"
"GSK-690693"	"trt_cp"
"GSK-923295"	"trt_cp"
"GSK-J1"	"trt_cp"
"GSK-J2"	"trt_cp"
"GSK-J4"	"trt_cp"
"guanaben-acetate"	"trt_cp"
"guanadrel"	"trt_cp"
"guanethidine"	"trt_cp"
"GW-5074"	"trt_cp"
"GW-842166"	"trt_cp"
"GW-843682X"	"trt_cp"
"halcinonide"	"trt_cp"
"halofantrine"	"trt_cp"
"haloperidol"	"trt_cp"
"HC-030031"	"trt_cp"
"hesperidin"	"trt_cp"
"hexachlorophene"	"trt_cp"
"HG-14-10-04"	"trt_cp"
"HG-5-113-01"	"trt_cp"
"HG-5-88-01"	"trt_cp"
"HG-6-64-01"	"trt_cp"
"HG-9-91-01"	"trt_cp"
"histamine"	"trt_cp"
"HMN-214"	"trt_cp"
"homochlorcyclizine"	"trt_cp"
"homoharringtonine"	"trt_cp"
"honokiol"	"trt_cp"
"hydrocortisone"	"trt_cp"
"hydroflumethiazide"	"trt_cp"
"hydroxyurea"	"trt_cp"
"hymecromone"	"trt_cp"
"hypericin"	"trt_cp"
"I-BET-151"	"trt_cp"
"I-BET-762"	"trt_cp"
"IB-MECA"	"trt_cp"
"ibrutinib"	"trt_cp"
"ibrutinib"	"trt_cp"
"ibudilast"	"trt_cp"
"ibuprofen"	"trt_cp"
"ibutamoren"	"trt_cp"
"ibutilide"	"trt_cp"
"ICI-162846"	"trt_cp"
"ICI-185,282"	"trt_cp"
"ICI-192605"	"trt_cp"
"idalopirdine"	"trt_cp"
"idasanutlin"	"trt_cp"
"idebenone"	"trt_cp"
"idelalisib"	"trt_cp"
"idoxuridin"	"trt_cp"
"ifenprodil"	"trt_cp"
"ifosfamide"	"trt_cp"
"iguratimod"	"trt_cp"
"IKK-2-inhibitor-V"	"trt_cp"
"IKK-inhibitor-X"	"trt_cp"
"ilomastat"	"trt_cp"
"imatinib"	"trt_cp"
"imexon"	"trt_cp"
"imiloxan"	"trt_cp"
"imipramine"	"trt_cp"
"imiquimod"	"trt_cp"
"indacaterol"	"trt_cp"
"indapamide"	"trt_cp"
"indibulin"	"trt_cp"
"indinavir"	"trt_cp"
"indiplon"	"trt_cp"
"indirubin"	"trt_cp"
"indobufen"	"trt_cp"
"indole-3-carbinol"	"trt_cp"
"indometacin"	"trt_cp"
"indoprofen"	"trt_cp"
"indoramin"	"trt_cp"
"indoximod"	"trt_cp"
"ingenol-mebutate"	"trt_cp"
"iniparib"	"trt_cp"
"inosine"	"trt_cp"
"inositol"	"trt_cp"
"IOWH-032"	"trt_cp"
"IOX2"	"trt_cp"
"IPI-145"	"trt_cp"
"ipratropium"	"trt_cp"
"ipriflavone"	"trt_cp"
"irbesartan"	"trt_cp"
"irinotecan"	"trt_cp"
"irsogladine"	"trt_cp"
"isbufylline"	"trt_cp"
"ischemin"	"trt_cp"
"isoconazole"	"trt_cp"
"isofloxythepin"	"trt_cp"
"isoniazid"	"trt_cp"
"isosorbide-mononitrate"	"trt_cp"
"isradipine"	"trt_cp"
"istaroxime"	"trt_cp"
"itopride"	"trt_cp"
"itraconazole"	"trt_cp"
"ivabradine"	"trt_cp"
"ivacaftor"	"trt_cp"
"ivermectin"	"trt_cp"
"ixabepilone"	"trt_cp"
"ixazomib"	"trt_cp"
"ixazomib-citrate"	"trt_cp"
"JNJ-26481585"	"trt_cp"
"JNJ-38877605"	"trt_cp"
