"FL_IDs"	"Drug"	"Type"	"Collapsed_Cells"
"28"	"AZD-8055$FL2"	"AZD-8055"	"Signature_Correlation"	"BT20|HA1E|HME1|HS578T|LNCAP|MCF10A|MCF7|MDAMB231|SKBR3"
"110"	"AZD-8330$FL1"	"AZD-8330"	"Signature_Correlation"	"A375|A549|HA1E|HELA|HS578T|HT29|MCF10A|MDAMB231|YAPC"
"111"	"BI-2536$FL1"	"BI-2536"	"Signature_Correlation"	"A375|BT20|HA1E|HME1|HS578T|HT29|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC"
"38"	"BI-2536$FL2"	"BI-2536"	"Signature_Correlation"	"ASC|HUVEC|SKL"
"42"	"BI-2536$FL3"	"BI-2536"	"Signature_Correlation"	"ASC.C|CD34|NEU|NPC|NPC.CAS9|NPC.TAK|SKL.C"
"112"	"BMS-345541$FL1"	"BMS-345541"	"Signature_Correlation"	"A375|HA1E|HS578T|MCF7|MDAMB231|SKBR3"
"43"	"BMS-345541$FL2"	"BMS-345541"	"Signature_Correlation"	"HEPG2|HME1|HT29|LNCAP"
"113"	"BMS-387032$FL1"	"BMS-387032"	"Signature_Correlation"	"A375|HA1E|LNCAP|PC3"
"29"	"BMS-387032$FL2"	"BMS-387032"	"Signature_Correlation"	"A549|BT20|HCC515|HME1|HS578T|HT29|MCF10A|MCF7|MDAMB231"
"114"	"brivanib$FL1"	"brivanib"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HELA|HEPG2|HT29|MCF7|SKBR3"
"210"	"brivanib$FL2"	"brivanib"	"Signature_Correlation"	"BT20|HS578T|MCF10A|MDAMB231"
"115"	"buparlisib$FL1"	"buparlisib"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7|YAPC"
"211"	"buparlisib$FL2"	"buparlisib"	"Signature_Correlation"	"A549|HCC515|HEPG2|PC3"
"39"	"buparlisib$FL3"	"buparlisib"	"Signature_Correlation"	"BT20|HS578T|MCF10A|MDAMB231|SKBR3"
"116"	"BX-912$FL1"	"BX-912"	"Signature_Correlation"	"A375|A549|HS578T|HT29"
"44"	"BX-912$FL2"	"BX-912"	"Signature_Correlation"	"HCC515|HEPG2|MCF10A|MDAMB231|SKBR3"
"117"	"canertinib$FL1"	"canertinib"	"Signature_Correlation"	"A375|HELA|HS578T|MDAMB231|PC3"
"310"	"canertinib$FL2"	"canertinib"	"Signature_Correlation"	"BT20|HCC515|HME1|MCF10A|SKBR3"
"118"	"celastrol$FL1"	"celastrol"	"Signature_Correlation"	"A375|A549|BT20|HA1E|HME1|HS578T|MCF10A|MDAMB231"
"212"	"celastrol$FL2"	"celastrol"	"Signature_Correlation"	"HCC515|HT29|LNCAP|MCF7|PC3"
"119"	"CGP-60474$FL1"	"CGP-60474"	"Signature_Correlation"	"A375|A549|ASC|ASC.C|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|HUVEC|LNCAP|MCF10A|MCF7|MDAMB231|PC3|SKL|SKL.C"
"213"	"CGP-60474$FL2"	"CGP-60474"	"Signature_Correlation"	"CD34|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|SKBR3"
"120"	"CHIR-99021$FL1"	"CHIR-99021"	"Signature_Correlation"	"A375|HA1E|HCC515"
"311"	"CHIR-99021$FL2"	"CHIR-99021"	"Signature_Correlation"	"BT20|HME1|HS578T|MDAMB231"
"45"	"CHIR-99021$FL3"	"CHIR-99021"	"Signature_Correlation"	"HEPG2|HT29|LNCAP|MCF10A"
"121"	"CP-466722$FL1"	"CP-466722"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HT29|PC3"
"214"	"CP-466722$FL2"	"CP-466722"	"Signature_Correlation"	"BT20|MCF10A|MCF7"
"122"	"CP-724714$FL1"	"CP-724714"	"Signature_Correlation"	"A375|BT20|HCC515|HEPG2|HS578T|MCF10A|MCF7"
"215"	"CP-724714$FL2"	"CP-724714"	"Signature_Correlation"	"A549|HA1E|HT29|MDAMB231|PC3"
"312"	"CP-724714$FL3"	"CP-724714"	"Signature_Correlation"	"HELA|SKBR3|YAPC"
"123"	"crizotinib$FL1"	"crizotinib"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HELA|HT29|PC3|YAPC"
"216"	"crizotinib$FL2"	"crizotinib"	"Signature_Correlation"	"BT20|HEPG2|MCF7|MDAMB231"
"313"	"crizotinib$FL3"	"crizotinib"	"Signature_Correlation"	"HS578T|MCF10A|SKBR3"
"124"	"CYT387$FL1"	"CYT387"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF10A|MCF7|MDAMB231|SKBR3"
"217"	"CYT387$FL2"	"CYT387"	"Signature_Correlation"	"A549|HCC515|HEPG2"
"125"	"dasatinib$FL1"	"dasatinib"	"Signature_Correlation"	"A375|A549|HCC515|HT29|HUVEC|MDAMB231|PC3|YAPC"
"218"	"dasatinib$FL2"	"dasatinib"	"Signature_Correlation"	"ASC|ASC.C|HA1E|HME1|HS578T|SKL|SKL.C"
"7"	"dasatinib$FL3"	"dasatinib"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"126"	"dovitinib$FL1"	"dovitinib"	"Signature_Correlation"	"A375|HCC515|HS578T|MCF10A"
"219"	"dovitinib$FL2"	"dovitinib"	"Signature_Correlation"	"A549|HA1E|HEPG2|HT29|PC3"
"127"	"erlotinib$FL1"	"erlotinib"	"Signature_Correlation"	"A375|A549|HA1E|HELA|HT29|MCF7|PC3|YAPC"
"220"	"erlotinib$FL2"	"erlotinib"	"Signature_Correlation"	"BT20|HCC515|MCF10A"
"314"	"erlotinib$FL3"	"erlotinib"	"Signature_Correlation"	"HEPG2|HS578T|MDAMB231|SKBR3"
"128"	"foretinib$FL1"	"foretinib"	"Signature_Correlation"	"A375|A549|HA1E|HELA|HEPG2|HS578T|HT29|MCF7|MDAMB231|PC3|YAPC"
"221"	"foretinib$FL2"	"foretinib"	"Signature_Correlation"	"BT20|HCC515|MCF10A|SKBR3"
"129"	"fostamatinib$FL1"	"fostamatinib"	"Signature_Correlation"	"A375|HA1E|HELA|HS578T"
"222"	"fostamatinib$FL2"	"fostamatinib"	"Signature_Correlation"	"A549|HCC515|HEPG2|HT29|PC3"
"315"	"fostamatinib$FL3"	"fostamatinib"	"Signature_Correlation"	"BT20|LNCAP|MCF7|SKBR3|YAPC"
"46"	"fostamatinib$FL4"	"fostamatinib"	"Signature_Correlation"	"HME1|MCF10A|MDAMB231"
"130"	"GDC-0941$FL1"	"GDC-0941"	"Signature_Correlation"	"A375|A549|BT20|HCC515|HEPG2|HS578T|HT29|LNCAP|MCF10A|MCF7|PC3|SKBR3"
"223"	"GDC-0980$FL1"	"GDC-0980"	"Signature_Correlation"	"A549|BT20|HA1E|HS578T|HT29|MCF10A|MCF7|PC3"
"224"	"gefitinib$FL1"	"gefitinib"	"Signature_Correlation"	"A549|BT20|HCC515|HME1|MCF10A|YAPC"
"47"	"gefitinib$FL2"	"gefitinib"	"Signature_Correlation"	"HS578T|MCF7|MDAMB231"
"131"	"GSK-1059615$FL1"	"GSK-1059615"	"Signature_Correlation"	"A375|A549|ASC|ASC.C|BT20|CD34|HA1E|HCC515|HEPG2|HME1|HS578T|HT29|HUVEC|MCF10A|MCF7|MDAMB231|MNEU.E|NEU|NPC|NPC.CAS9|NPC.TAK|PC3|SKBR3|SKL|SKL.C"
"132"	"GSK-1904529A$FL1"	"GSK-1904529A"	"Signature_Correlation"	"A375|A549|HA1E|HT29|MCF10A|MCF7"
"225"	"GSK-1904529A$FL2"	"GSK-1904529A"	"Signature_Correlation"	"BT20|HCC515|HME1|MDAMB231|PC3|SKBR3"
"316"	"GSK-1904529A$FL3"	"GSK-1904529A"	"Signature_Correlation"	"HEPG2|HS578T|LNCAP"
"133"	"GSK-2126458$FL1"	"GSK-2126458"	"Signature_Correlation"	"A375|A549|HCC515|HT29|MDAMB231|PC3"
"226"	"GSK-2126458$FL2"	"GSK-2126458"	"Signature_Correlation"	"BT20|HA1E|HME1|HS578T|LNCAP|MCF10A"
"134"	"GSK-690693$FL1"	"GSK-690693"	"Signature_Correlation"	"A375|HCC515|HEPG2|MDAMB231"
"227"	"GSK-690693$FL2"	"GSK-690693"	"Signature_Correlation"	"A549|BT20|HA1E|HS578T|HT29|PC3"
"317"	"GSK-690693$FL3"	"GSK-690693"	"Signature_Correlation"	"MCF10A|MCF7|SKBR3"
"135"	"GW-843682X$FL1"	"GW-843682X"	"Signature_Correlation"	"A375|A549|HA1E|HEPG2|HT29|MCF10A|PC3|SKBR3"
"228"	"GW-843682X$FL2"	"GW-843682X"	"Signature_Correlation"	"BT20|HME1|LNCAP|MCF7"
"318"	"GW-843682X$FL3"	"GW-843682X"	"Signature_Correlation"	"HCC515|HS578T|MDAMB231"
"136"	"HG-5-113-01$FL1"	"HG-5-113-01"	"Signature_Correlation"	"A375|A549|HEPG2|MCF10A|MCF7|MDAMB231|PC3|SKBR3"
"319"	"HG-5-113-01$FL2"	"HG-5-113-01"	"Signature_Correlation"	"HA1E|HCC515|HT29"
"137"	"HG-5-88-01$FL1"	"HG-5-88-01"	"Signature_Correlation"	"A375|A549|HCC515|HEPG2|PC3"
"229"	"HG-5-88-01$FL2"	"HG-5-88-01"	"Signature_Correlation"	"BT20|HA1E|LNCAP|MCF10A|MDAMB231|SKBR3"
"138"	"HG-6-64-01$FL1"	"HG-6-64-01"	"Signature_Correlation"	"A375|HA1E|HS578T|MDAMB231"
"230"	"HG-6-64-01$FL2"	"HG-6-64-01"	"Signature_Correlation"	"A549|HCC515|PC3"
"320"	"HG-6-64-01$FL3"	"HG-6-64-01"	"Signature_Correlation"	"BT20|MCF10A|MCF7|SKBR3"
"139"	"imatinib$FL1"	"imatinib"	"Signature_Correlation"	"A375|HELA|PC3|YAPC"
"231"	"imatinib$FL2"	"imatinib"	"Signature_Correlation"	"A549|BT20|HCC515|HEPG2|HME1|HS578T|HT29|MCF10A|MCF7|MDAMB231|SKBR3"
"140"	"JNK-9L$FL1"	"JNK-9L"	"Signature_Correlation"	"A375|HA1E|HME1|HS578T|LNCAP|MDAMB231|PC3"
"232"	"JNK-9L$FL2"	"JNK-9L"	"Signature_Correlation"	"A549|BT20|MCF10A|MCF7|SKBR3"
"141"	"JW-7-24-1$FL1"	"JW-7-24-1"	"Signature_Correlation"	"A375|A549|HCC515|HEPG2|HS578T|LNCAP|PC3|SKBR3"
"321"	"JW-7-24-1$FL2"	"JW-7-24-1"	"Signature_Correlation"	"HA1E|HME1|MCF10A|MCF7|MDAMB231"
"142"	"KIN001-043$FL1"	"KIN001-043"	"Signature_Correlation"	"A375|A549|BT20|HCC515|HME1|LNCAP|MCF10A|MCF7|MDAMB231|SKBR3"
"233"	"KIN001-043$FL2"	"KIN001-043"	"Signature_Correlation"	"HA1E|HS578T|PC3"
"143"	"lapatinib$FL1"	"lapatinib"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|PC3|YAPC"
"234"	"lapatinib$FL2"	"lapatinib"	"Signature_Correlation"	"A549|BT20|HCC515|HME1|MCF10A|MCF7|SKBR3"
"322"	"lapatinib$FL3"	"lapatinib"	"Signature_Correlation"	"HEPG2|HS578T|LNCAP|MDAMB231"
"144"	"LDN-193189$FL1"	"LDN-193189"	"Signature_Correlation"	"A375|A549|HCC515"
"235"	"LDN-193189$FL2"	"LDN-193189"	"Signature_Correlation"	"BT20|HA1E|HS578T|HT29|MCF10A|MCF7|MDAMB231|SKBR3"
"145"	"linifanib$FL1"	"linifanib"	"Signature_Correlation"	"A375|A549|HT29|MCF10A|MDAMB231"
"236"	"linifanib$FL2"	"linifanib"	"Signature_Correlation"	"BT20|HCC515|HEPG2|YAPC"
"323"	"linifanib$FL3"	"linifanib"	"Signature_Correlation"	"HA1E|HELA|PC3"
"48"	"linifanib$FL4"	"linifanib"	"Signature_Correlation"	"HME1|HS578T|MCF7"
"146"	"linsitinib$FL1"	"linsitinib"	"Signature_Correlation"	"A375|HELA|HT29|MCF7|YAPC"
"51"	"linsitinib$FL2"	"linsitinib"	"Signature_Correlation"	"HEPG2|MDAMB231|PC3|SKBR3"
"147"	"MK-2206$FL1"	"MK-2206"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|MCF7|PC3|YAPC"
"148"	"neratinib$FL1"	"neratinib"	"Signature_Correlation"	"A375|A549|HA1E|HEPG2|MDAMB231"
"237"	"neratinib$FL2"	"neratinib"	"Signature_Correlation"	"BT20|HS578T|MCF10A|SKBR3"
"324"	"neratinib$FL3"	"neratinib"	"Signature_Correlation"	"HCC515|HT29|MCF7|PC3"
"238"	"nilotinib$FL1"	"nilotinib"	"Signature_Correlation"	"A549|HA1E|HCC515|HEPG2|YAPC"
"325"	"nilotinib$FL2"	"nilotinib"	"Signature_Correlation"	"BT20|MCF7|PC3|SKBR3"
"149"	"nintedanib$FL1"	"nintedanib"	"Signature_Correlation"	"A375|A549|HA1E|HELA|HT29|MCF7|YAPC"
"239"	"nintedanib$FL2"	"nintedanib"	"Signature_Correlation"	"BT20|HEPG2|HME1|HS578T|LNCAP|PC3"
"326"	"nintedanib$FL3"	"nintedanib"	"Signature_Correlation"	"HCC515|MCF10A|MDAMB231|SKBR3"
"240"	"NVP-AEW541$FL1"	"NVP-AEW541"	"Signature_Correlation"	"A549|HEPG2|HT29|MCF7"
"49"	"NVP-AEW541$FL2"	"NVP-AEW541"	"Signature_Correlation"	"HA1E|MDAMB231|PC3|SKBR3"
"150"	"NVP-AUY922$FL1"	"NVP-AUY922"	"Signature_Correlation"	"A375|A549|HA1E|HCC515|HS578T|MCF7|MDAMB231|SKBR3"
"241"	"NVP-AUY922$FL2"	"NVP-AUY922"	"Signature_Correlation"	"BT20|HEPG2|PC3"
"151"	"NVP-BEZ235$FL1"	"NVP-BEZ235"	"Signature_Correlation"	"A375|A549|BT20|HA1E|HCC515|HEPG2|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3"
"152"	"NVP-TAE684$FL1"	"NVP-TAE684"	"Signature_Correlation"	"A375|A549|HCC515|HEPG2|HME1|HT29|MCF7|MDAMB231|PC3"
"242"	"NVP-TAE684$FL2"	"NVP-TAE684"	"Signature_Correlation"	"BT20|LNCAP|SKBR3"
"327"	"NVP-TAE684$FL3"	"NVP-TAE684"	"Signature_Correlation"	"HA1E|HS578T|MCF10A"
"153"	"OSI-027$FL1"	"OSI-027"	"Signature_Correlation"	"A375|BT20|HA1E|HCC515|HEPG2|HME1|HS578T|MCF10A|MCF7|MDAMB231|PC3|SKBR3"
"154"	"palbociclib$FL1"	"palbociclib"	"Signature_Correlation"	"A375|A549|HCC515|HT29|MCF7|PC3|YAPC"
"243"	"palbociclib$FL2"	"palbociclib"	"Signature_Correlation"	"BT20|HME1|HS578T|LNCAP|MCF10A|MDAMB231"
"155"	"PD-0325901$FL1"	"PD-0325901"	"Signature_Correlation"	"A375|A549|HCC515|HME1|HT29|HUVEC|MCF10A|MDAMB231|YAPC"
"244"	"PD-0325901$FL2"	"PD-0325901"	"Signature_Correlation"	"ASC|ASC.C|HA1E|HS578T|SKL|SKL.C"
"52"	"PD-0325901$FL3"	"PD-0325901"	"Signature_Correlation"	"MNEU.E|NEU|PC3"
"6"	"PD-0325901$FL4"	"PD-0325901"	"Signature_Correlation"	"NPC|NPC.CAS9|NPC.TAK"
"245"	"PD-173074$FL1"	"PD-173074"	"Signature_Correlation"	"A549|HCC515|HME1|HT29|LNCAP|MCF7"
"410"	"PD-173074$FL2"	"PD-173074"	"Signature_Correlation"	"HA1E|HEPG2|HS578T"
"156"	"PD-184352$FL1"	"PD-184352"	"Signature_Correlation"	"A375|HEPG2|HT29|MCF10A"
"246"	"PD-184352$FL2"	"PD-184352"	"Signature_Correlation"	"A549|HA1E|HCC515|HELA|HS578T|MDAMB231|YAPC"
"328"	"PD-184352$FL3"	"PD-184352"	"Signature_Correlation"	"BT20|MCF7|SKBR3"
"157"	"pelitinib$FL1"	"pelitinib"	"Signature_Correlation"	"A375|HELA|HEPG2"
"247"	"pelitinib$FL2"	"pelitinib"	"Signature_Correlation"	"A549|HA1E|HS578T|MDAMB231|PC3"
"329"	"pelitinib$FL3"	"pelitinib"	"Signature_Correlation"	"BT20|HCC515|MCF10A|SKBR3"
"158"	"PF-431396$FL1"	"PF-431396"	"Signature_Correlation"	"A375|HA1E|HS578T|MDAMB231|PC3"
"330"	"PF-431396$FL2"	"PF-431396"	"Signature_Correlation"	"BT20|HT29|MCF7|SKBR3"
"159"	"PF-477736$FL1"	"PF-477736"	"Signature_Correlation"	"A375|BT20|HCC515|MDAMB231"
"248"	"PF-477736$FL2"	"PF-477736"	"Signature_Correlation"	"A549|HEPG2|MCF10A|MCF7"
"331"	"PF-477736$FL3"	"PF-477736"	"Signature_Correlation"	"HA1E|HS578T|PC3"
"160"	"PF-562271$FL1"	"PF-562271"	"Signature_Correlation"	"A375|HA1E|MDAMB231|PC3"
"249"	"PF-562271$FL2"	"PF-562271"	"Signature_Correlation"	"A549|HCC515|HME1"
"332"	"PF-562271$FL3"	"PF-562271"	"Signature_Correlation"	"BT20|HEPG2|HS578T|MCF10A|SKBR3"
"53"	"PF-562271$FL4"	"PF-562271"	"Signature_Correlation"	"HT29|LNCAP|MCF7"
"161"	"PHA-665752$FL1"	"PHA-665752"	"Signature_Correlation"	"A375|A549|HA1E|HT29|PC3"
"333"	"PHA-665752$FL2"	"PHA-665752"	"Signature_Correlation"	"HCC515|HEPG2|HS578T|MCF7|SKBR3"
"162"	"PHA-793887$FL1"	"PHA-793887"	"Signature_Correlation"	"A375|HT29|MCF10A|MCF7|PC3"
"54"	"PHA-793887$FL2"	"PHA-793887"	"Signature_Correlation"	"HCC515|LNCAP|MDAMB231"
"163"	"PI-103$FL1"	"PI-103"	"Signature_Correlation"	"A375|A549|BT20|HCC515|HME1|HS578T|LNCAP|MCF10A|MDAMB231|PC3|SKBR3"
"250"	"PI-103$FL2"	"PI-103"	"Signature_Correlation"	"HA1E|HELA|MCF7"
"164"	"PIK-93$FL1"	"PIK-93"	"Signature_Correlation"	"A375|BT20|HEPG2|HT29|MCF10A|SKBR3"
"251"	"PIK-93$FL2"	"PIK-93"	"Signature_Correlation"	"A549|HCC515|PC3"
"334"	"PIK-93$FL3"	"PIK-93"	"Signature_Correlation"	"HA1E|HS578T|MCF7|MDAMB231"
"252"	"PLX-4720$FL1"	"PLX-4720"	"Signature_Correlation"	"A549|HA1E|HCC515|MDAMB231|SKBR3"
"335"	"PLX-4720$FL2"	"PLX-4720"	"Signature_Correlation"	"BT20|HEPG2|HS578T|MCF10A|MCF7|PC3"
"165"	"QL-X-138$FL1"	"QL-X-138"	"Signature_Correlation"	"A375|BT20|HA1E|HCC515|HME1|HS578T|MCF10A|MCF7|MDAMB231|PC3|SKBR3"
"166"	"QL-XII-47$FL1"	"QL-XII-47"	"Signature_Correlation"	"A375|BT20|HA1E|HEPG2|HME1|HS578T|LNCAP|MCF7|MDAMB231|SKBR3"
"167"	"roscovitine$FL1"	"roscovitine"	"Signature_Correlation"	"A375|HA1E|HELA|MCF7|PC3|YAPC"
"336"	"roscovitine$FL2"	"roscovitine"	"Signature_Correlation"	"BT20|HEPG2|HS578T|MCF10A|SKBR3"
"168"	"ruxolitinib$FL1"	"ruxolitinib"	"Signature_Correlation"	"A375|BT20|MDAMB231"
"337"	"ruxolitinib$FL2"	"ruxolitinib"	"Signature_Correlation"	"HA1E|HCC515|HEPG2|HT29"
"411"	"ruxolitinib$FL3"	"ruxolitinib"	"Signature_Correlation"	"HS578T|MCF10A|MCF7|SKBR3"
"169"	"SAR-245408$FL1"	"SAR-245408"	"Signature_Correlation"	"A375|A549|HCC515|PC3"
"253"	"SAR-245408$FL2"	"SAR-245408"	"Signature_Correlation"	"BT20|HA1E|HS578T|MCF10A|SKBR3"
"412"	"SAR-245408$FL3"	"SAR-245408"	"Signature_Correlation"	"HT29|MCF7|MDAMB231"
"170"	"saracatinib$FL1"	"saracatinib"	"Signature_Correlation"	"A375|BT20|HA1E|HCC515|HELA|HME1|HS578T|HT29|MCF10A|MCF7|MDAMB231|PC3|SKBR3|YAPC"
"254"	"saracatinib$FL2"	"saracatinib"	"Signature_Correlation"	"A549|ASC|ASC.C|CD34|NEU|NPC|NPC.CAS9|NPC.TAK|SKL|SKL.C"
"171"	"SB-590885$FL1"	"SB-590885"	"Signature_Correlation"	"A375|HEPG2|HT29"
"255"	"SB-590885$FL2"	"SB-590885"	"Signature_Correlation"	"A549|BT20|HA1E|HCC515|HS578T|MCF10A|MCF7|PC3|SKBR3"
"172"	"selumetinib$FL1"	"selumetinib"	"Signature_Correlation"	"A375|HELA|HEPG2|HT29"
"256"	"selumetinib$FL2"	"selumetinib"	"Signature_Correlation"	"A549|HA1E|HCC515|HME1|HS578T|MCF10A|MDAMB231|YAPC"
"173"	"sirolimus$FL1"	"sirolimus"	"Signature_Correlation"	"A375|A549|ASC.C|HA1E|HELA|HT29|HUVEC|JURKAT|MCF7|NPC|NPC.CAS9|NPC.TAK|PC3|YAPC"
"257"	"sirolimus$FL2"	"sirolimus"	"Signature_Correlation"	"ASC|BT20|HCC515|HEPG2|HME1|HS578T|LNCAP|MCF10A|MDAMB231|SKBR3|SKL"
"174"	"sorafenib$FL1"	"sorafenib"	"Signature_Correlation"	"A375|HELA|HEPG2|HT29|MCF7|PC3|YAPC"
"258"	"sorafenib$FL2"	"sorafenib"	"Signature_Correlation"	"A549|BT20|HA1E|HCC515|HS578T"
"338"	"sorafenib$FL3"	"sorafenib"	"Signature_Correlation"	"HME1|LNCAP|MCF10A|MDAMB231|SKBR3"
"259"	"SU-11274$FL1"	"SU-11274"	"Signature_Correlation"	"BT20|HA1E|HCC515|HS578T|MCF10A"
"339"	"SU-11274$FL2"	"SU-11274"	"Signature_Correlation"	"HEPG2|MCF7|MDAMB231|SKBR3"
"175"	"TG-101348$FL1"	"TG-101348"	"Signature_Correlation"	"A375|A549|BT20|HA1E|MCF7"
"260"	"TG-101348$FL2"	"TG-101348"	"Signature_Correlation"	"HCC515|HS578T|MDAMB231|SKBR3"
"176"	"TGX-221$FL1"	"TGX-221"	"Signature_Correlation"	"A375|A549|HCC515|HS578T|HT29|MDAMB231"
"261"	"TGX-221$FL2"	"TGX-221"	"Signature_Correlation"	"BT20|HEPG2|MCF10A|MCF7|SKBR3"
"340"	"THZ-2-98-01$FL1"	"THZ-2-98-01"	"Signature_Correlation"	"BT20|HA1E|HS578T|MCF10A"
"413"	"THZ-2-98-01$FL2"	"THZ-2-98-01"	"Signature_Correlation"	"HEPG2|LNCAP|MDAMB231|SKBR3"
"55"	"THZ-2-98-01$FL3"	"THZ-2-98-01"	"Signature_Correlation"	"HME1|HT29|MCF7"
"177"	"torin-1$FL1"	"torin-1"	"Signature_Correlation"	"A375|HA1E|HELA|HT29|YAPC"
"341"	"torin-1$FL2"	"torin-1"	"Signature_Correlation"	"BT20|HME1|HS578T|LNCAP|MCF10A|MCF7|MDAMB231|SKBR3"
"262"	"torin-2$FL1"	"torin-2"	"Signature_Correlation"	"A549|BT20|HS578T|MCF10A|MCF7|MDAMB231|PC3|SKBR3"
"178"	"tozasertib$FL1"	"tozasertib"	"Signature_Correlation"	"A375|A549|HEPG2|HT29|MCF7"
"263"	"tozasertib$FL2"	"tozasertib"	"Signature_Correlation"	"BT20|HCC515|HS578T|MCF10A|MDAMB231|SKBR3"
"179"	"trametinib$FL1"	"trametinib"	"Signature_Correlation"	"A375|A549|BT20|HCC515|HS578T|HT29|MCF10A|MDAMB231"
"264"	"trametinib$FL2"	"trametinib"	"Signature_Correlation"	"HA1E|HEPG2|MCF7|PC3"
"180"	"TWS-119$FL1"	"TWS-119"	"Signature_Correlation"	"A375|BT20|HA1E|HCC515"
"265"	"TWS-119$FL2"	"TWS-119"	"Signature_Correlation"	"A549|HT29|MCF7|MDAMB231|PC3"
"414"	"TWS-119$FL3"	"TWS-119"	"Signature_Correlation"	"HS578T|MCF10A|SKBR3"
